shows,avg_price,top_price,counta,performances,money,type,theatre
The Lyons,45.35615385,198,13,80,2509091,Play,Cort
The Man Who Came to Dinner,48.50933333,65,15,85,3854225,Play,American Airlines
The Man Who Had All the Luck,45.13181818,65,11,70,2610518,Play,American Airlines
The Miracle Worker,47.14875,200,8,38,1687067,Play,Circle In The Square
The Motherf**ker With the Hat,78.23,275,18,112,10451323,Play,Schoenfeld
The Mountaintop,87.87722222,300,18,117,10864181,Play,Jacobs
The Music Man,60.88120879,90,91,699,45976995,Musical,Neil Simon
The Mystery of Charles Dickens,32.5975,66.25,4,20,253992,Play,Belasco
The Nance,76.50380952,0,21,136,8563126,Play,Lyceum
The Normal Heart,61.25083333,198,12,86,4237705,Play,Golden
The Old Neighborhood,33.97346154,55,26,197,3820480,Play,Booth
The Other Place,57.24666667,0,12,61,2876466,Play,Friedman
The Pajama Game,74.54409091,101.25,22,129,8885204,Musical,American Airlines
The Pee-wee Herman Show,98.1,225,10,62,6296959,Play,Stephen Sondheim
The People in the Picture,43.9125,0,12,60,2469422,Musical,Studio 54
The Performers,37.4725,135,4,6,737219,Play,Longacre
The Philanthropist,49.31583333,111.5,12,73,2463705,Play,American Airlines
The Pillowman,64.76346154,96.25,26,185,8946186,Play,Booth
The Pirate Queen,60.502,111.25,15,85,9054539,Musical,Hilton Theatre
The Pitmen Painters,52.79769231,0,13,86,2531130,Play,Friedman
The Play What I Wrote,39.59,81.25,15,89,2530951,Play,Lyceum
The Producers,77.60301887,600,318,2502,288361724,Musical,St. James
The Rainmaker,37.65785714,65,14,82,3321242,Play,Brooks Atkinson
The Rascals: Once Upon a Dream,121.5833333,298,3,14,2245793,Special,Richard Rodgers
The Realistic Joneses,85.83117647,223,17,105,8209761,Play,Lyceum
The Rehearsal,31.56,55,11,55,1147712,Play,Criterion
The Retreat from Moscow,49.91909091,81.25,22,147,4496405,Play,Booth
The Ride Down Mt. Morgan,39.55555556,65,18,121,3948515,Play,Ambassador
The Ritz,45.67076923,95,13,69,3438536,Play,Studio 54
The Rivals,48.98666667,85,9,45,2275152,Play,Vivian Beaumont
The River,135.194,275,15,97,10827016,Play,Circle In The Square
The Road to Mecca,48.475,0,12,56,2082656,Play,American Airlines
The Rocky Horror Show,49.88694915,85,59,437,13431400,Musical,Circle In The Square
The Rose Tattoo,25.07818182,45,11,73,1039948,Play,Circle In The Square
The Royal Family,49.31846154,0,13,77,2627586,Play,Friedman
The Scarlet Pimpernel,44.32242718,100,103,772,40692704,Musical,Minskoff
The Scottsboro Boys,52.464,250,10,49,2750411,Musical,Lyceum
The Seafarer,52.20636364,226.5,22,133,4512348,Play,Booth
The Shadow Box,22.52,0,9,49,636598,Play,Circle In The Square
The Sisters Rosensweig,36.73277778,0,72,556,19086077,Play,Ethel Barrymore
The Smell of the Kill,29.92,70,8,40,533380,Play,Helen Hayes
The Snow Geese,53.50181818,0,11,60,2376183,Play,Friedman
The Sound of Music,53.84305556,80,72,533,34483971,Musical,Martin Beck
The Story of My Life,39.95333333,175,3,5,264611,Musical,Booth
The Sunshine Boys,39.34032258,60,31,230,5023827,Play,Lyceum
The Tale of the Allergist's Wife,47.75742574,75,101,777,29310727,Play,Ethel Barrymore
The Tempest,50.3225,65,12,70,4609277,Play,Broadhurst
The Testament of Mary,39.89666667,225,6,16,1279803,Play,Walter Kerr
The Times They Are A-Changin',53.175,251.25,8,28,2636161,Musical,Brooks Atkinson
The Trip to Bountiful,85.86206897,250,29,187,13498945,Play,Stephen Sondheim
The Velocity of Autumn,28.85,173,5,16,544617,Play,Booth
The Vertical Hour,69.43277778,251.25,18,117,7308875,Play,Music Box
The Violet Hour,51.712,81,10,54,2037981,Play,Biltmore
The Wedding Singer,66.02425,251.25,40,285,19995744,Musical,Al Hirschfeld
The Weir,38.14777778,60,36,277,6874875,Play,Walter Kerr
The Wild Party,49.93,84,14,68,3919522,Musical,Virginia
The Winslow Boy,55.37909091,0,11,53,2392300,Play,American Airlines
The Woman in White,68.36823529,250,17,109,10445368,Musical,Marquis
The Women,53.64857143,70,14,77,4183178,Play,American Airlines
The Year of Magical Thinking,70.46625,251.25,24,144,7293267,Play,Booth
The Young Man from Atlanta,27.03,45,13,84,1340187,Play,Longacre
This Is Our Youth,64.8925,223,20,133,7229324,Play,Cort
Thoroughly Modern Millie,62.68923729,240,118,903,75616509,Musical,Marquis
Thou Shalt Not,45.57466667,86.25,15,85,3894953,Musical,Plymouth
Three Days of Rain,111.3241667,251.25,12,70,11427896,Play,Jacobs
Thurgood,57.50052632,151.5,19,126,4613166,Play,Booth
Time Stands Still,67.98096774,250,31,193,10428041,Play,Friedman
Titanic,52.82847619,100,105,804,57150546,Musical,Lunt-Fontanne
To Be Or Not to Be,53.21333333,95,9,40,1166048,Play,Friedman
Top Girls,53.58636364,91.5,11,63,2211556,Play,Biltmore
Topdog / Underdog,43.42181818,76.25,22,144,5405007,Play,Ambassador
Triumph of Love,46.04933333,80,15,85,3700422,Musical,Royale
True West,49.89875,67.5,24,154,5035352,Play,Circle In The Square
Twelve Angry Men,56.19484848,86.25,33,228,9325569,Play,American Airlines
Twentieth Century,53.52928571,86.25,14,84,3869161,Play,American Airlines
Urban Cowboy,54.28416667,96.25,12,60,1288667,Musical,Broadhurst
Vanya and Sonia and Masha and Spike,94.4896,223,25,189,13130430,Play,Golden
Venus in Fur,76.07862069,200,29,191,9550145,Play,Friedman
Via Dolorosa,30.65333333,55,15,99,1751272,Play,Booth
Vincent in Brixton,37.74666667,71.25,12,69,1915989,Play,Golden
Violet,70.004,0,20,128,6616618,Musical,American Airlines
Voices in the Dark,29.73454545,60,11,68,1245034,Play,Longacre
Wait Until Dark,45.23142857,60,14,97,4125132,Play,Brooks Atkinson
Waiting for Godot,61.51266667,121.5,15,84,6908255,Play,Studio 54
Waiting in the Wings,50.47115385,70,26,183,6513905,Play,Walter Kerr
War Horse,102.3582105,175,95,718,74975253,Play,Vivian Beaumont
Well,41.914,201.25,10,52,1162288,Play,Longacre
West Side Story,85.43701031,300,97,748,93028454,Musical,Palace
Whoopi,51.38307692,76.25,13,72,2584289,Play,Lyceum
Wishful Drinking,55.58764706,0,17,118,5649906,Play,Studio 54
Wit,51.52272727,0,11,60,2302405,Play,Friedman
Women on the Verge of a Nervous Breakdown,65.96307692,0,13,69,4820272,Musical,Belasco
Wonderful Town,65.61938462,95,65,497,29830255,Musical,Al Hirschfeld
Wonderland,52.3875,200,8,33,4438971,Musical,Marquis
Wrong Mountain,26.66333333,55,6,28,418284,Play,Eugene O'Neill
Xanadu,70.22971831,226.25,71,512,17126310,Musical,Helen Hayes
You Can't Take It With You,82.86884615,250,26,169,13227324,Play,Longacre
"You're a Good Man, Charlie Brown",42.72952381,75,21,149,3630774,Musical,Ambassador
